date,ETHBTC open,ETHBTC high,ETHBTC low,ETHBTC close,ETHBTC volume,BTCUSDT open,BTCUSDT high,BTCUSDT low,BTCUSDT close,BTCUSDT volume,ETHUSDT open,ETHUSDT high,ETHUSDT low,ETHUSDT close,ETHUSDT volume,BNBUSDT open,BNBUSDT high,BNBUSDT low,BNBUSDT close,BNBUSDT volume,ADAUSDT open,ADAUSDT high,ADAUSDT low,ADAUSDT close,ADAUSDT volume,XRPUSDT open,XRPUSDT high,XRPUSDT low,XRPUSDT close,XRPUSDT volume,TRXUSDT open,TRXUSDT high,TRXUSDT low,TRXUSDT close,TRXUSDT volume,ETCUSDT open,ETCUSDT high,ETCUSDT low,ETCUSDT close,ETCUSDT volume,MATICUSDT open,MATICUSDT high,MATICUSDT low,MATICUSDT close,MATICUSDT volume,FTMUSDT open,FTMUSDT high,FTMUSDT low,FTMUSDT close,FTMUSDT volume,DOGEUSDT open,DOGEUSDT high,DOGEUSDT low,DOGEUSDT close,DOGEUSDT volume,BTCBUSD open,BTCBUSD high,BTCBUSD low,BTCBUSD close,BTCBUSD volume,BUSDUSDT open,BUSDUSDT high,BUSDUSDT low,BUSDUSDT close,BUSDUSDT volume,ETHBUSD open,ETHBUSD high,ETHBUSD low,ETHBUSD close,ETHBUSD volume,SOLUSDT open,SOLUSDT high,SOLUSDT low,SOLUSDT close,SOLUSDT volume,MANAUSDT open,MANAUSDT high,MANAUSDT low,MANAUSDT close,MANAUSDT volume,SANDUSDT open,SANDUSDT high,SANDUSDT low,SANDUSDT close,SANDUSDT volume,DOTUSDT open,DOTUSDT high,DOTUSDT low,DOTUSDT close,DOTUSDT volume,LUNABUSD open,LUNABUSD high,LUNABUSD low,LUNABUSD close,LUNABUSD volume,LUNAUSDT open,LUNAUSDT high,LUNAUSDT low,LUNAUSDT close,LUNAUSDT volume,EGLDUSDT open,EGLDUSDT high,EGLDUSDT low,EGLDUSDT close,EGLDUSDT volume,AVAXUSDT open,AVAXUSDT high,AVAXUSDT low,AVAXUSDT close,AVAXUSDT volume,NEARUSDT open,NEARUSDT high,NEARUSDT low,NEARUSDT close,NEARUSDT volume,SLPBUSD open,SLPBUSD high,SLPBUSD low,SLPBUSD close,SLPBUSD volume,SLPUSDT open,SLPUSDT high,SLPUSDT low,SLPUSDT close,SLPUSDT volume,SHIBUSDT open,SHIBUSDT high,SHIBUSDT low,SHIBUSDT close,SHIBUSDT volume,SHIBBUSD open,SHIBBUSD high,SHIBBUSD low,SHIBBUSD close,SHIBBUSD volume,GALAUSDT open,GALAUSDT high,GALAUSDT low,GALAUSDT close,GALAUSDT volume,BETAUSDT open,BETAUSDT high,BETAUSDT low,BETAUSDT close,BETAUSDT volume,SLPTRY open,SLPTRY high,SLPTRY low,SLPTRY close,SLPTRY volume
2017-08-27,0.07664700,0.08260000,0.07537700,0.08043600,36949.12700000,4332.51000000,4400.00000000,4285.54000000,4310.01000000,350.69258500,332.18000000,348.13000000,330.73000000,348.13000000,4635.43715000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-28,0.08064900,0.08188400,0.07850100,0.07963200,28745.66800000,4310.01000000,4399.82000000,4124.54000000,4386.69000000,603.84161600,348.11000000,351.00000000,331.95000000,346.00000000,4279.18170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-29,0.07963200,0.08440200,0.07903700,0.08155100,32574.22100000,4353.65000000,4625.85000000,4313.55000000,4587.48000000,603.54502800,347.00000000,377.60000000,346.00000000,374.70000000,3032.13425000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-30,0.08155100,0.08508500,0.08077600,0.08420000,30766.05900000,4564.52000000,4647.51000000,4416.01000000,4555.14000000,808.46877100,374.70000000,393.71000000,362.05000000,385.93000000,4446.59608000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-31,0.08403200,0.08419800,0.08159800,0.08196700,26520.59800000,4555.14000000,4745.42000000,4555.14000000,4724.89000000,556.95680200,384.64000000,389.36000000,377.78000000,384.79000000,4435.86855000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01,0.08196700,0.08440800,0.08001500,0.08084900,28097.57200000,4689.89000000,4885.55000000,4654.88000000,4834.91000000,560.66636600,386.44000000,394.39000000,383.18000000,388.46000000,4198.68434000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-02,0.08084900,0.08274000,0.07386100,0.07639600,32502.56600000,4796.16000000,4939.19000000,4286.87000000,4472.14000000,929.14859500,388.58000000,394.32000000,320.08000000,343.14000000,8240.32724000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-03,0.07639600,0.07886000,0.07374000,0.07593800,42102.84200000,4508.50000000,4714.76000000,4298.33000000,4509.08000000,691.21619800,343.56000000,367.28000000,320.08000000,341.77000000,5253.62211000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-04,0.07603100,0.07607100,0.06500000,0.07032000,50413.57100000,4505.00000000,4527.49000000,3972.51000000,4100.11000000,1394.64461400,339.29000000,344.55000000,267.94000000,283.77000000,6737.81061000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-05,0.07027600,0.07215400,0.06565500,0.07178800,41673.10700000,4106.97000000,4484.99000000,3603.00000000,4366.47000000,1228.93815700,286.81000000,321.52000000,235.55000000,312.09000000,8344.41924000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-06,0.07178800,0.07387100,0.07095400,0.07282100,34711.43600000,4366.49000000,4662.87000000,4335.26000000,4619.77000000,807.36372600,313.29000000,336.34000000,312.09000000,335.00000000,5486.30988000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-07,0.07282100,0.07299000,0.06500000,0.07160000,16057.51800000,4619.77000000,4788.59000000,4438.19000000,4691.61000000,500.42997500,335.01000000,342.50000000,320.17000000,334.49000000,3103.89745000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-08,0.07160000,0.07251000,0.06555000,0.07024600,22241.96300000,4691.66000000,4735.39000000,4028.93000000,4282.80000000,1132.25504600,334.49000000,335.10000000,272.00000000,302.99000000,4915.75693000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-09,0.07024600,0.07167800,0.06803300,0.07015100,8597.58500000,4282.80000000,4426.62000000,4150.06000000,4258.81000000,658.78295200,300.01000000,307.00000000,281.66000000,296.74000000,2740.58822000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-10,0.07010000,0.07110000,0.06818100,0.07012700,7873.98500000,4258.81000000,4283.00000000,3801.00000000,4130.37000000,660.37327500,296.72000000,302.78000000,261.03000000,293.50000000,4156.45099000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-11,0.07059900,0.07199800,0.06875500,0.07063000,7460.72200000,4153.62000000,4334.43000000,4098.91000000,4208.47000000,699.98906500,293.51000000,304.98000000,285.21000000,297.30000000,4829.64647000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-12,0.07060000,0.07278400,0.06800000,0.07060000,14505.75300000,4208.60000000,4394.59000000,4040.80000000,4163.72000000,879.63031900,297.78000000,316.46000000,286.01000000,293.96000000,5176.31402000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-13,0.07076300,0.07149800,0.06735600,0.07146800,7572.94800000,4159.72000000,4165.38000000,3760.00000000,3944.69000000,913.46254500,293.93000000,294.50000000,257.05000000,276.91000000,6451.22836000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-14,0.07139800,0.07150900,0.06710100,0.06876500,11387.59600000,3944.00000000,3993.00000000,3165.13000000,3189.02000000,1665.02154300,275.76000000,283.77000000,215.00000000,215.21000000,12601.95676000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-15,0.06804700,0.07100000,0.06500000,0.06951200,10770.27800000,3188.01000000,3856.00000000,2817.00000000,3700.00000000,1968.86649200,217.00000000,270.93000000,192.00000000,253.00000000,14223.89530000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-16,0.06951900,0.07003600,0.06673900,0.06831500,8247.26300000,3674.01000000,3950.00000000,3470.66000000,3714.95000000,1297.56395300,255.99000000,271.81000000,235.51000000,249.31000000,10362.06011000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-17,0.06837200,0.07048800,0.06723400,0.06984800,4193.77800000,3685.23000000,3748.21000000,3499.02000000,3699.99000000,682.17121000,249.32000000,264.39000000,239.02000000,257.55000000,4614.53337000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-18,0.06984800,0.07591300,0.06961500,0.07310000,5846.33200000,3690.00000000,4123.20000000,3690.00000000,4035.01000000,1030.00645500,257.53000000,306.22000000,257.11000000,294.57000000,4125.97051000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-19,0.07304500,0.07352300,0.07180000,0.07252500,8900.48500000,4060.00000000,4089.97000000,3830.91000000,3910.04000000,902.33212900,296.00000000,300.00000000,277.41000000,284.00000000,1869.90852000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-20,0.07245400,0.07340000,0.07180000,0.07334500,16794.26200000,3910.04000000,4046.08000000,3820.00000000,3900.00000000,720.93507600,284.01000000,294.00000000,275.91000000,282.00000000,1060.56734000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-21,0.07334500,0.07379900,0.07056500,0.07141000,24583.89900000,3889.99000000,3910.00000000,3567.00000000,3609.99000000,1001.65408400,285.10000000,287.00000000,252.10000000,257.00000000,1912.55583000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-22,0.07141000,0.07296400,0.07100000,0.07296400,24350.63500000,3592.84000000,3750.00000000,3505.55000000,3595.87000000,838.96642500,258.00000000,272.97000000,253.01000000,264.00000000,1464.51250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-23,0.07287400,0.07569400,0.07196400,0.07555700,23028.20000000,3595.88000000,3817.19000000,3542.91000000,3780.00000000,752.79279100,259.99000000,286.23000000,255.11000000,285.93000000,2824.33572000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
