date,ETHBTC open,BTCUSDT open,ETHUSDT open,BNBUSDT open,ADAUSDT open,XRPUSDT open,TRXUSDT open,ETCUSDT open,MATICUSDT open,FTMUSDT open,DOGEUSDT open,BTCBUSD open,BUSDUSDT open,ETHBUSD open,SOLUSDT open,MANAUSDT open,SANDUSDT open,DOTUSDT open,LUNABUSD open,LUNAUSDT open,EGLDUSDT open,AVAXUSDT open,NEARUSDT open,SLPBUSD open,SLPUSDT open,SHIBUSDT open,SHIBBUSD open,GALAUSDT open,BETAUSDT open,SLPTRY open,ETHBTC high,BTCUSDT high,ETHUSDT high,BNBUSDT high,ADAUSDT high,XRPUSDT high,TRXUSDT high,ETCUSDT high,MATICUSDT high,FTMUSDT high,DOGEUSDT high,BTCBUSD high,BUSDUSDT high,ETHBUSD high,SOLUSDT high,MANAUSDT high,SANDUSDT high,DOTUSDT high,LUNABUSD high,LUNAUSDT high,EGLDUSDT high,AVAXUSDT high,NEARUSDT high,SLPBUSD high,SLPUSDT high,SHIBUSDT high,SHIBBUSD high,GALAUSDT high,BETAUSDT high,SLPTRY high,ETHBTC low,BTCUSDT low,ETHUSDT low,BNBUSDT low,ADAUSDT low,XRPUSDT low,TRXUSDT low,ETCUSDT low,MATICUSDT low,FTMUSDT low,DOGEUSDT low,BTCBUSD low,BUSDUSDT low,ETHBUSD low,SOLUSDT low,MANAUSDT low,SANDUSDT low,DOTUSDT low,LUNABUSD low,LUNAUSDT low,EGLDUSDT low,AVAXUSDT low,NEARUSDT low,SLPBUSD low,SLPUSDT low,SHIBUSDT low,SHIBBUSD low,GALAUSDT low,BETAUSDT low,SLPTRY low,ETHBTC close,BTCUSDT close,ETHUSDT close,BNBUSDT close,ADAUSDT close,XRPUSDT close,TRXUSDT close,ETCUSDT close,MATICUSDT close,FTMUSDT close,DOGEUSDT close,BTCBUSD close,BUSDUSDT close,ETHBUSD close,SOLUSDT close,MANAUSDT close,SANDUSDT close,DOTUSDT close,LUNABUSD close,LUNAUSDT close,EGLDUSDT close,AVAXUSDT close,NEARUSDT close,SLPBUSD close,SLPUSDT close,SHIBUSDT close,SHIBBUSD close,GALAUSDT close,BETAUSDT close,SLPTRY close,ETHBTC volume,BTCUSDT volume,ETHUSDT volume,BNBUSDT volume,ADAUSDT volume,XRPUSDT volume,TRXUSDT volume,ETCUSDT volume,MATICUSDT volume,FTMUSDT volume,DOGEUSDT volume,BTCBUSD volume,BUSDUSDT volume,ETHBUSD volume,SOLUSDT volume,MANAUSDT volume,SANDUSDT volume,DOTUSDT volume,LUNABUSD volume,LUNAUSDT volume,EGLDUSDT volume,AVAXUSDT volume,NEARUSDT volume,SLPBUSD volume,SLPUSDT volume,SHIBUSDT volume,SHIBBUSD volume,GALAUSDT volume,BETAUSDT volume,SLPTRY volume
2017-08-17,0.06973500,4261.48000000,301.13000000,1.50000000,0.25551000,0.50000000,0.05000000,16.20000000,0.00263000,0.03590000,0.00449000,9881.43000000,238.70000000,175.00000000,2.85000000,0.05363000,0.00833300,2.09000000,0.53880000,0.53970000,19.71000000,0.85000000,1.30000000,0.11250000,0.11280000,0.00001412,0.00001411,0.02103000,0.06001000,0.68520000,0.07225400,4485.39000000,312.18000000,1.79900000,0.28800000,1.50000000,0.05000000,16.79990000,0.01052000,0.04500000,0.00460000,10305.58000000,306.09630000,177.89000000,3.52080000,0.12000000,0.09471000,4.44000000,0.60000000,0.53970000,35.00000000,7.00000000,1.88000000,0.36170000,0.35700000,0.00005000,0.00004900,0.07805000,4.75000000,0.73520000,0.06807700,4200.74000000,298.00000000,0.50000000,0.23983000,0.50000000,0.04258000,13.95000000,0.00263000,0.03000000,0.00355000,9828.59000000,0.00050000,171.87000000,2.84330000,0.05363000,0.00833300,2.00000000,0.49460000,0.40100000,16.70800000,0.85000000,1.05000000,0.11250000,0.11280000,0.00001412,0.00001411,0.02103000,0.06001000,0.67970000,0.07047900,4285.08000000,302.00000000,1.57100000,0.24260000,0.88990000,0.04840000,14.62820000,0.00545000,0.03240000,0.00387010,10254.92000000,1.00000000,174.29000000,3.29850000,0.05822000,0.06599700,3.10000000,0.50710000,0.43140000,17.75200000,5.31930000,1.16850000,0.21700000,0.21660000,0.00003466,0.00003468,0.04721000,3.23000000,0.73400000,24002.43100000,795.15037700,7030.71034000,120615.34000000,67462293.24000000,20890213.82000000,72569508.90000000,744968.58000000,2251813333.70000000,767242774.60000000,1928297660.00000000,1.05104800,157497.51000000,460.13617000,1552384.78000000,14196664.70000000,989575855.00000000,6039881.97000000,2883391.97000000,2884153.28000000,1122432.92300000,31441883.16000000,33930218.86000000,323655555.00000000,1718434562.00000000,95302311917668.00,12848964269758.00,5474434186.00000000,334952990.00000000,2520527.00000000
2017-08-18,0.07047900,4285.08000000,302.00000000,1.50000000,0.25551000,0.50000000,0.05000000,16.20000000,0.00263000,0.03590000,0.00449000,9881.43000000,238.70000000,175.00000000,2.85000000,0.05363000,0.00833300,2.09000000,0.53880000,0.53970000,19.71000000,0.85000000,1.30000000,0.11250000,0.11280000,0.00001412,0.00001411,0.02103000,0.06001000,0.68520000,0.07300500,4371.52000000,311.79000000,1.79900000,0.28800000,1.50000000,0.05000000,16.79990000,0.01052000,0.04500000,0.00460000,10305.58000000,306.09630000,177.89000000,3.52080000,0.12000000,0.09471000,4.44000000,0.60000000,0.53970000,35.00000000,7.00000000,1.88000000,0.36170000,0.35700000,0.00005000,0.00004900,0.07805000,4.75000000,0.73520000,0.06956500,3938.77000000,283.94000000,0.50000000,0.23983000,0.50000000,0.04258000,13.95000000,0.00263000,0.03000000,0.00355000,9828.59000000,0.00050000,171.87000000,2.84330000,0.05363000,0.00833300,2.00000000,0.49460000,0.40100000,16.70800000,0.85000000,1.05000000,0.11250000,0.11280000,0.00001412,0.00001411,0.02103000,0.06001000,0.67970000,0.07143300,4108.37000000,293.96000000,1.57100000,0.24260000,0.88990000,0.04840000,14.62820000,0.00545000,0.03240000,0.00387010,10254.92000000,1.00000000,174.29000000,3.29850000,0.05822000,0.06599700,3.10000000,0.50710000,0.43140000,17.75200000,5.31930000,1.16850000,0.21700000,0.21660000,0.00003466,0.00003468,0.04721000,3.23000000,0.73400000,29861.75600000,1199.88826400,9537.84646000,120615.34000000,67462293.24000000,20890213.82000000,72569508.90000000,744968.58000000,2251813333.70000000,767242774.60000000,1928297660.00000000,1.05104800,157497.51000000,460.13617000,1552384.78000000,14196664.70000000,989575855.00000000,6039881.97000000,2883391.97000000,2884153.28000000,1122432.92300000,31441883.16000000,33930218.86000000,323655555.00000000,1718434562.00000000,95302311917668.00,12848964269758.00,5474434186.00000000,334952990.00000000,2520527.00000000
2017-08-19,0.07118700,4108.37000000,293.31000000,1.50000000,0.25551000,0.50000000,0.05000000,16.20000000,0.00263000,0.03590000,0.00449000,9881.43000000,238.70000000,175.00000000,2.85000000,0.05363000,0.00833300,2.09000000,0.53880000,0.53970000,19.71000000,0.85000000,1.30000000,0.11250000,0.11280000,0.00001412,0.00001411,0.02103000,0.06001000,0.68520000,0.07374100,4184.69000000,299.90000000,1.79900000,0.28800000,1.50000000,0.05000000,16.79990000,0.01052000,0.04500000,0.00460000,10305.58000000,306.09630000,177.89000000,3.52080000,0.12000000,0.09471000,4.44000000,0.60000000,0.53970000,35.00000000,7.00000000,1.88000000,0.36170000,0.35700000,0.00005000,0.00004900,0.07805000,4.75000000,0.73520000,0.06992500,3850.00000000,278.00000000,0.50000000,0.23983000,0.50000000,0.04258000,13.95000000,0.00263000,0.03000000,0.00355000,9828.59000000,0.00050000,171.87000000,2.84330000,0.05363000,0.00833300,2.00000000,0.49460000,0.40100000,16.70800000,0.85000000,1.05000000,0.11250000,0.11280000,0.00001412,0.00001411,0.02103000,0.06001000,0.67970000,0.07003600,4139.98000000,290.91000000,1.57100000,0.24260000,0.88990000,0.04840000,14.62820000,0.00545000,0.03240000,0.00387010,10254.92000000,1.00000000,174.29000000,3.29850000,0.05822000,0.06599700,3.10000000,0.50710000,0.43140000,17.75200000,5.31930000,1.16850000,0.21700000,0.21660000,0.00003466,0.00003468,0.04721000,3.23000000,0.73400000,19918.66500000,381.30976300,2146.19773000,120615.34000000,67462293.24000000,20890213.82000000,72569508.90000000,744968.58000000,2251813333.70000000,767242774.60000000,1928297660.00000000,1.05104800,157497.51000000,460.13617000,1552384.78000000,14196664.70000000,989575855.00000000,6039881.97000000,2883391.97000000,2884153.28000000,1122432.92300000,31441883.16000000,33930218.86000000,323655555.00000000,1718434562.00000000,95302311917668.00,12848964269758.00,5474434186.00000000,334952990.00000000,2520527.00000000
2017-08-20,0.07034700,4120.98000000,289.41000000,1.50000000,0.25551000,0.50000000,0.05000000,16.20000000,0.00263000,0.03590000,0.00449000,9881.43000000,238.70000000,175.00000000,2.85000000,0.05363000,0.00833300,2.09000000,0.53880000,0.53970000,19.71000000,0.85000000,1.30000000,0.11250000,0.11280000,0.00001412,0.00001411,0.02103000,0.06001000,0.68520000,0.07300000,4211.08000000,300.53000000,1.79900000,0.28800000,1.50000000,0.05000000,16.79990000,0.01052000,0.04500000,0.00460000,10305.58000000,306.09630000,177.89000000,3.52080000,0.12000000,0.09471000,4.44000000,0.60000000,0.53970000,35.00000000,7.00000000,1.88000000,0.36170000,0.35700000,0.00005000,0.00004900,0.07805000,4.75000000,0.73520000,0.06900000,4032.62000000,282.85000000,0.50000000,0.23983000,0.50000000,0.04258000,13.95000000,0.00263000,0.03000000,0.00355000,9828.59000000,0.00050000,171.87000000,2.84330000,0.05363000,0.00833300,2.00000000,0.49460000,0.40100000,16.70800000,0.85000000,1.05000000,0.11250000,0.11280000,0.00001412,0.00001411,0.02103000,0.06001000,0.67970000,0.07219800,4086.29000000,299.10000000,1.57100000,0.24260000,0.88990000,0.04840000,14.62820000,0.00545000,0.03240000,0.00387010,10254.92000000,1.00000000,174.29000000,3.29850000,0.05822000,0.06599700,3.10000000,0.50710000,0.43140000,17.75200000,5.31930000,1.16850000,0.21700000,0.21660000,0.00003466,0.00003468,0.04721000,3.23000000,0.73400000,22530.29400000,467.08302200,2510.13871000,120615.34000000,67462293.24000000,20890213.82000000,72569508.90000000,744968.58000000,2251813333.70000000,767242774.60000000,1928297660.00000000,1.05104800,157497.51000000,460.13617000,1552384.78000000,14196664.70000000,989575855.00000000,6039881.97000000,2883391.97000000,2884153.28000000,1122432.92300000,31441883.16000000,33930218.86000000,323655555.00000000,1718434562.00000000,95302311917668.00,12848964269758.00,5474434186.00000000,334952990.00000000,2520527.00000000
2017-08-21,0.07219800,4069.13000000,299.10000000,1.50000000,0.25551000,0.50000000,0.05000000,16.20000000,0.00263000,0.03590000,0.00449000,9881.43000000,238.70000000,175.00000000,2.85000000,0.05363000,0.00833300,2.09000000,0.53880000,0.53970000,19.71000000,0.85000000,1.30000000,0.11250000,0.11280000,0.00001412,0.00001411,0.02103000,0.06001000,0.68520000,0.08865800,4119.62000000,346.52000000,1.79900000,0.28800000,1.50000000,0.05000000,16.79990000,0.01052000,0.04500000,0.00460000,10305.58000000,306.09630000,177.89000000,3.52080000,0.12000000,0.09471000,4.44000000,0.60000000,0.53970000,35.00000000,7.00000000,1.88000000,0.36170000,0.35700000,0.00005000,0.00004900,0.07805000,4.75000000,0.73520000,0.07150900,3911.79000000,294.60000000,0.50000000,0.23983000,0.50000000,0.04258000,13.95000000,0.00263000,0.03000000,0.00355000,9828.59000000,0.00050000,171.87000000,2.84330000,0.05363000,0.00833300,2.00000000,0.49460000,0.40100000,16.70800000,0.85000000,1.05000000,0.11250000,0.11280000,0.00001412,0.00001411,0.02103000,0.06001000,0.67970000,0.08052000,4016.00000000,323.29000000,1.57100000,0.24260000,0.88990000,0.04840000,14.62820000,0.00545000,0.03240000,0.00387010,10254.92000000,1.00000000,174.29000000,3.29850000,0.05822000,0.06599700,3.10000000,0.50710000,0.43140000,17.75200000,5.31930000,1.16850000,0.21700000,0.21660000,0.00003466,0.00003468,0.04721000,3.23000000,0.73400000,48283.41600000,691.74306000,5219.44542000,120615.34000000,67462293.24000000,20890213.82000000,72569508.90000000,744968.58000000,2251813333.70000000,767242774.60000000,1928297660.00000000,1.05104800,157497.51000000,460.13617000,1552384.78000000,14196664.70000000,989575855.00000000,6039881.97000000,2883391.97000000,2884153.28000000,1122432.92300000,31441883.16000000,33930218.86000000,323655555.00000000,1718434562.00000000,95302311917668.00,12848964269758.00,5474434186.00000000,334952990.00000000,2520527.00000000
2017-08-22,0.08068800,4016.00000000,321.04000000,1.50000000,0.25551000,0.50000000,0.05000000,16.20000000,0.00263000,0.03590000,0.00449000,9881.43000000,238.70000000,175.00000000,2.85000000,0.05363000,0.00833300,2.09000000,0.53880000,0.53970000,19.71000000,0.85000000,1.30000000,0.11250000,0.11280000,0.00001412,0.00001411,0.02103000,0.06001000,0.68520000,0.08450000,4104.82000000,330.41000000,1.79900000,0.28800000,1.50000000,0.05000000,16.79990000,0.01052000,0.04500000,0.00460000,10305.58000000,306.09630000,177.89000000,3.52080000,0.12000000,0.09471000,4.44000000,0.60000000,0.53970000,35.00000000,7.00000000,1.88000000,0.36170000,0.35700000,0.00005000,0.00004900,0.07805000,4.75000000,0.73520000,0.07001000,3400.00000000,144.21000000,0.50000000,0.23983000,0.50000000,0.04258000,13.95000000,0.00263000,0.03000000,0.00355000,9828.59000000,0.00050000,171.87000000,2.84330000,0.05363000,0.00833300,2.00000000,0.49460000,0.40100000,16.70800000,0.85000000,1.05000000,0.11250000,0.11280000,0.00001412,0.00001411,0.02103000,0.06001000,0.67970000,0.07682500,4040.00000000,309.80000000,1.57100000,0.24260000,0.88990000,0.04840000,14.62820000,0.00545000,0.03240000,0.00387010,10254.92000000,1.00000000,174.29000000,3.29850000,0.05822000,0.06599700,3.10000000,0.50710000,0.43140000,17.75200000,5.31930000,1.16850000,0.21700000,0.21660000,0.00003466,0.00003468,0.04721000,3.23000000,0.73400000,42660.05000000,966.68485800,7956.35088000,120615.34000000,67462293.24000000,20890213.82000000,72569508.90000000,744968.58000000,2251813333.70000000,767242774.60000000,1928297660.00000000,1.05104800,157497.51000000,460.13617000,1552384.78000000,14196664.70000000,989575855.00000000,6039881.97000000,2883391.97000000,2884153.28000000,1122432.92300000,31441883.16000000,33930218.86000000,323655555.00000000,1718434562.00000000,95302311917668.00,12848964269758.00,5474434186.00000000,334952990.00000000,2520527.00000000
2017-08-23,0.07679400,4040.00000000,312.25000000,1.50000000,0.25551000,0.50000000,0.05000000,16.20000000,0.00263000,0.03590000,0.00449000,9881.43000000,238.70000000,175.00000000,2.85000000,0.05363000,0.00833300,2.09000000,0.53880000,0.53970000,19.71000000,0.85000000,1.30000000,0.11250000,0.11280000,0.00001412,0.00001411,0.02103000,0.06001000,0.68520000,0.07968900,4265.80000000,324.99000000,1.79900000,0.28800000,1.50000000,0.05000000,16.79990000,0.01052000,0.04500000,0.00460000,10305.58000000,306.09630000,177.89000000,3.52080000,0.12000000,0.09471000,4.44000000,0.60000000,0.53970000,35.00000000,7.00000000,1.88000000,0.36170000,0.35700000,0.00005000,0.00004900,0.07805000,4.75000000,0.73520000,0.07416400,4013.89000000,309.41000000,0.50000000,0.23983000,0.50000000,0.04258000,13.95000000,0.00263000,0.03000000,0.00355000,9828.59000000,0.00050000,171.87000000,2.84330000,0.05363000,0.00833300,2.00000000,0.49460000,0.40100000,16.70800000,0.85000000,1.05000000,0.11250000,0.11280000,0.00001412,0.00001411,0.02103000,0.06001000,0.67970000,0.07706000,4114.01000000,315.74000000,1.57100000,0.24260000,0.88990000,0.04840000,14.62820000,0.00545000,0.03240000,0.00387010,10254.92000000,1.00000000,174.29000000,3.29850000,0.05822000,0.06599700,3.10000000,0.50710000,0.43140000,17.75200000,5.31930000,1.16850000,0.21700000,0.21660000,0.00003466,0.00003468,0.04721000,3.23000000,0.73400000,41661.39200000,1001.13656500,8665.72569000,120615.34000000,67462293.24000000,20890213.82000000,72569508.90000000,744968.58000000,2251813333.70000000,767242774.60000000,1928297660.00000000,1.05104800,157497.51000000,460.13617000,1552384.78000000,14196664.70000000,989575855.00000000,6039881.97000000,2883391.97000000,2884153.28000000,1122432.92300000,31441883.16000000,33930218.86000000,323655555.00000000,1718434562.00000000,95302311917668.00,12848964269758.00,5474434186.00000000,334952990.00000000,2520527.00000000
2017-08-24,0.07706000,4147.00000000,315.74000000,1.50000000,0.25551000,0.50000000,0.05000000,16.20000000,0.00263000,0.03590000,0.00449000,9881.43000000,238.70000000,175.00000000,2.85000000,0.05363000,0.00833300,2.09000000,0.53880000,0.53970000,19.71000000,0.85000000,1.30000000,0.11250000,0.11280000,0.00001412,0.00001411,0.02103000,0.06001000,0.68520000,0.07864900,4371.68000000,328.04000000,1.79900000,0.28800000,1.50000000,0.05000000,16.79990000,0.01052000,0.04500000,0.00460000,10305.58000000,306.09630000,177.89000000,3.52080000,0.12000000,0.09471000,4.44000000,0.60000000,0.53970000,35.00000000,7.00000000,1.88000000,0.36170000,0.35700000,0.00005000,0.00004900,0.07805000,4.75000000,0.73520000,0.07456700,4085.01000000,314.01000000,0.50000000,0.23983000,0.50000000,0.04258000,13.95000000,0.00263000,0.03000000,0.00355000,9828.59000000,0.00050000,171.87000000,2.84330000,0.05363000,0.00833300,2.00000000,0.49460000,0.40100000,16.70800000,0.85000000,1.05000000,0.11250000,0.11280000,0.00001412,0.00001411,0.02103000,0.06001000,0.67970000,0.07533900,4316.01000000,323.42000000,1.57100000,0.24260000,0.88990000,0.04840000,14.62820000,0.00545000,0.03240000,0.00387010,10254.92000000,1.00000000,174.29000000,3.29850000,0.05822000,0.06599700,3.10000000,0.50710000,0.43140000,17.75200000,5.31930000,1.16850000,0.21700000,0.21660000,0.00003466,0.00003468,0.04721000,3.23000000,0.73400000,44430.69200000,787.41875300,6753.27192000,120615.34000000,67462293.24000000,20890213.82000000,72569508.90000000,744968.58000000,2251813333.70000000,767242774.60000000,1928297660.00000000,1.05104800,157497.51000000,460.13617000,1552384.78000000,14196664.70000000,989575855.00000000,6039881.97000000,2883391.97000000,2884153.28000000,1122432.92300000,31441883.16000000,33930218.86000000,323655555.00000000,1718434562.00000000,95302311917668.00,12848964269758.00,5474434186.00000000,334952990.00000000,2520527.00000000
2017-08-25,0.07530200,4316.01000000,323.42000000,1.50000000,0.25551000,0.50000000,0.05000000,16.20000000,0.00263000,0.03590000,0.00449000,9881.43000000,238.70000000,175.00000000,2.85000000,0.05363000,0.00833300,2.09000000,0.53880000,0.53970000,19.71000000,0.85000000,1.30000000,0.11250000,0.11280000,0.00001412,0.00001411,0.02103000,0.06001000,0.68520000,0.07790000,4453.91000000,338.28000000,1.79900000,0.28800000,1.50000000,0.05000000,16.79990000,0.01052000,0.04500000,0.00460000,10305.58000000,306.09630000,177.89000000,3.52080000,0.12000000,0.09471000,4.44000000,0.60000000,0.53970000,35.00000000,7.00000000,1.88000000,0.36170000,0.35700000,0.00005000,0.00004900,0.07805000,4.75000000,0.73520000,0.07474200,4247.48000000,323.42000000,0.50000000,0.23983000,0.50000000,0.04258000,13.95000000,0.00263000,0.03000000,0.00355000,9828.59000000,0.00050000,171.87000000,2.84330000,0.05363000,0.00833300,2.00000000,0.49460000,0.40100000,16.70800000,0.85000000,1.05000000,0.11250000,0.11280000,0.00001412,0.00001411,0.02103000,0.06001000,0.67970000,0.07658700,4280.68000000,327.24000000,1.57100000,0.24260000,0.88990000,0.04840000,14.62820000,0.00545000,0.03240000,0.00387010,10254.92000000,1.00000000,174.29000000,3.29850000,0.05822000,0.06599700,3.10000000,0.50710000,0.43140000,17.75200000,5.31930000,1.16850000,0.21700000,0.21660000,0.00003466,0.00003468,0.04721000,3.23000000,0.73400000,35690.37700000,573.61274000,7125.96962000,120615.34000000,67462293.24000000,20890213.82000000,72569508.90000000,744968.58000000,2251813333.70000000,767242774.60000000,1928297660.00000000,1.05104800,157497.51000000,460.13617000,1552384.78000000,14196664.70000000,989575855.00000000,6039881.97000000,2883391.97000000,2884153.28000000,1122432.92300000,31441883.16000000,33930218.86000000,323655555.00000000,1718434562.00000000,95302311917668.00,12848964269758.00,5474434186.00000000,334952990.00000000,2520527.00000000
2017-08-26,0.07659300,4280.71000000,327.24000000,1.50000000,0.25551000,0.50000000,0.05000000,16.20000000,0.00263000,0.03590000,0.00449000,9881.43000000,238.70000000,175.00000000,2.85000000,0.05363000,0.00833300,2.09000000,0.53880000,0.53970000,19.71000000,0.85000000,1.30000000,0.11250000,0.11280000,0.00001412,0.00001411,0.02103000,0.06001000,0.68520000,0.07870800,4367.00000000,335.44000000,1.79900000,0.28800000,1.50000000,0.05000000,16.79990000,0.01052000,0.04500000,0.00460000,10305.58000000,306.09630000,177.89000000,3.52080000,0.12000000,0.09471000,4.44000000,0.60000000,0.53970000,35.00000000,7.00000000,1.88000000,0.36170000,0.35700000,0.00005000,0.00004900,0.07805000,4.75000000,0.73520000,0.07526900,4212.41000000,323.41000000,0.50000000,0.23983000,0.50000000,0.04258000,13.95000000,0.00263000,0.03000000,0.00355000,9828.59000000,0.00050000,171.87000000,2.84330000,0.05363000,0.00833300,2.00000000,0.49460000,0.40100000,16.70800000,0.85000000,1.05000000,0.11250000,0.11280000,0.00001412,0.00001411,0.02103000,0.06001000,0.67970000,0.07664700,4337.44000000,330.79000000,1.57100000,0.24260000,0.88990000,0.04840000,14.62820000,0.00545000,0.03240000,0.00387010,10254.92000000,1.00000000,174.29000000,3.29850000,0.05822000,0.06599700,3.10000000,0.50710000,0.43140000,17.75200000,5.31930000,1.16850000,0.21700000,0.21660000,0.00003466,0.00003468,0.04721000,3.23000000,0.73400000,31475.75200000,228.10806800,4877.68521000,120615.34000000,67462293.24000000,20890213.82000000,72569508.90000000,744968.58000000,2251813333.70000000,767242774.60000000,1928297660.00000000,1.05104800,157497.51000000,460.13617000,1552384.78000000,14196664.70000000,989575855.00000000,6039881.97000000,2883391.97000000,2884153.28000000,1122432.92300000,31441883.16000000,33930218.86000000,323655555.00000000,1718434562.00000000,95302311917668.00,12848964269758.00,5474434186.00000000,334952990.00000000,2520527.00000000
